county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max
Plumas,2019,7,0.0,3191365,8.07,2,6,8,500,25500,26000
Plumas,2020,14,0.01,3184513,8.05,2,9,11,500,27000,27500
Plumas,2021,34,0.01,3161681,8.03,2,9,11,500,27000,27500
Plumas,2022,13,0.01,19790,0.05,2,7,9,500,11500,12000
Riverside,2015,1608,2.51,376215,0.97,0,6,6,0,25500,25500
Riverside,2016,1857,2.56,382010,0.98,0,6,6,0,25500,25500
Riverside,2017,2699,2.91,388773,0.99,0,6,6,0,25500,25500
Riverside,2018,4458,2.88,395677,1.0,0,6,6,0,25500,25500
Riverside,2019,4719,3.23,401671,1.02,3,6,9,9500,25500,35000
Riverside,2020,5135,3.57,405308,1.03,3,9,12,9500,27000,36500
Riverside,2021,11097,4.49,409044,1.04,9,9,18,9750,27000,36750
Riverside,2022,7472,4.71,2418185,6.12,9,7,16,9750,11500,21250
Sacramento,2015,1081,1.69,19701,0.05,2,6,8,5016,25500,30516
Sacramento,2016,1109,1.53,19672,0.05,2,6,8,5016,25500,30516
Sacramento,2017,1639,1.77,19642,0.05,2,6,8,5016,25500,30516
Sacramento,2018,3283,2.12,19575,0.05,2,6,8,5016,25500,30516
Sacramento,2019,3211,2.2,19807,0.05,2,6,8,5016,25500,30516
Sacramento,2020,3406,2.37,19666,0.05,2,9,11,5016,27000,32016
Sacramento,2021,6212,2.51,19659,0.05,2,9,11,5016,27000,32016
Sacramento,2022,4028,2.54,1585055,4.01,2,7,9,5016,11500,16516
San Benito,2015,46,0.07,2313162,5.94,0,6,6,0,25500,25500
San Benito,2016,49,0.07,2337698,5.97,0,6,6,0,25500,25500
San Benito,2017,89,0.1,2361995,6.01,0,6,6,0,25500,25500
San Benito,2018,103,0.07,2383773,6.04,0,6,6,0,25500,25500
San Benito,2019,121,0.08,2400535,6.07,0,6,6,0,25500,25500
San Benito,2020,140,0.1,2421480,6.12,0,9,9,0,27000,27000
San Benito,2021,299,0.12,2431647,6.18,0,9,9,0,27000,27000
San Benito,2022,215,0.14,64209,0.16,0,7,7,0,11500,11500
San Bernardino,2015,1265,1.98,1502821,3.86,0,6,6,0,25500,25500
