county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max,previous_evs,household_income,importance_of_gge,homeowner,education,commute_distance,age,gender,number_of_vehicles,annual_miles
Riverside,2016,1857,2.56,382010,0.98,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Riverside,2017,2699,2.91,388773,0.99,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Sacramento,2015,1081,1.69,19701,0.05,2,6,8,5016,25500,30516,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Sacramento,2016,1109,1.53,19672,0.05,2,6,8,5016,25500,30516,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Sacramento,2017,1639,1.77,19642,0.05,2,6,8,5016,25500,30516,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
San Benito,2015,46,0.07,2313162,5.94,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
San Benito,2016,49,0.07,2337698,5.97,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
San Benito,2017,89,0.1,2361995,6.01,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
San Bernardino,2015,1265,1.98,1502821,3.86,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
San Bernardino,2016,1454,2.01,1520401,3.89,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
San Bernardino,2017,2076,2.24,1536517,3.91,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
San Diego,2015,4824,7.54,59220,0.15,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
San Diego,2016,5218,7.2,60087,0.15,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
San Diego,2017,6453,6.96,60733,0.15,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
San Francisco,2015,1711,2.67,2119575,5.45,1,6,7,5000,25500,30500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
San Francisco,2016,1900,2.62,2132121,5.45,1,6,7,5000,25500,30500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
San Francisco,2017,2363,2.55,2147291,5.46,1,6,7,5000,25500,30500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
San Joaquin,2015,350,0.55,3248371,8.35,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
San Joaquin,2016,433,0.6,3263517,8.34,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
San Joaquin,2017,580,0.63,3276113,8.33,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
San Luis Obispo,2015,271,0.42,857037,2.2,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
San Luis Obispo,2016,265,0.37,863546,2.21,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
San Luis Obispo,2017,372,0.4,868879,2.21,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
San Mateo,2015,2827,4.42,729411,1.87,1,6,7,5000,25500,30500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
San Mateo,2016,3001,4.14,739814,1.89,1,6,7,5000,25500,30500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
San Mateo,2017,3416,3.68,750306,1.91,1,6,7,5000,25500,30500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Santa Barbara,2015,347,0.54,279800,0.72,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Santa Barbara,2016,510,0.7,281681,0.72,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Santa Barbara,2017,655,0.71,282103,0.72,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Santa Clara,2015,9821,15.35,761484,1.96,1,6,7,5000,25500,30500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Santa Clara,2016,10482,14.47,764070,1.95,1,6,7,5000,25500,30500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Santa Clara,2017,12688,13.68,765601,1.95,1,6,7,5000,25500,30500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Santa Cruz,2015,591,0.92,442188,1.14,1,6,7,5000,25500,30500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Santa Cruz,2016,573,0.79,444277,1.14,1,6,7,5000,25500,30500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Santa Cruz,2017,682,0.74,445801,1.13,1,6,7,5000,25500,30500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Shasta,2015,36,0.06,1914457,4.92,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Shasta,2016,49,0.07,1925914,4.92,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Shasta,2017,67,0.07,1932947,4.91,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Sierra,2015,1,0.0,274762,0.71,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
