Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Merced,Electric,Chevrolet,Spark EV,8,92083,Electric
2015,Merced,Electric,FIAT,500e,4,92084,Electric
2015,Merced,Electric,Kia,Soul EV,1,92088,Electric
2015,Merced,Electric,Nissan,Leaf,6,92091,Electric
2015,Merced,Electric,Tesla,Model S,5,92093,Electric
2015,Merced,Electric,Volkswagen,e-Golf,1,92101,Electric
2015,Merced,PHEV,BMW,i3 REx,1,92102,Electric
2015,Merced,PHEV,Chevrolet,Volt,10,92103,Electric
2015,Merced,PHEV,Ford,C-MAX Energi,5,92104,Electric
2015,Merced,PHEV,Ford,Fusion Energi,2,92105,Electric
2015,Merced,PHEV,Toyota,Prius PHEV,3,92106,Electric
2015,Mono,Electric,Tesla,Model S,2,92107,Electric
2015,Mono,PHEV,Toyota,Prius PHEV,1,92108,Electric
2015,Monterey,Electric,BMW,i3,2,92109,Electric
2015,Monterey,Electric,Chevrolet,Spark EV,7,92110,Electric
2015,Monterey,Electric,FIAT,500e,44,92111,Electric
2015,Monterey,Electric,Ford,Focus,9,92114,Electric
2015,Monterey,Electric,Kia,Soul EV,6,92115,Electric
2015,Monterey,Electric,Mercedes-Benz,B-Class,3,92116,Electric
2015,Monterey,Electric,Nissan,Leaf,25,92117,Electric
2015,Monterey,Electric,Smart,Fortwo Electric Drive,2,92118,Electric
2015,Monterey,Electric,Tesla,Model S,59,92119,Electric
2015,Monterey,Electric,Volkswagen,e-Golf,2,92120,Electric
2015,Monterey,PHEV,BMW,i3 REx,17,92121,Electric
2015,Monterey,PHEV,BMW,i8,4,92122,Electric
2015,Monterey,PHEV,BMW,X5,4,92123,Electric
2015,Monterey,PHEV,Cadillac,ELR,1,92124,Electric
2015,Monterey,PHEV,Chevrolet,Volt,34,92126,Electric
2015,Monterey,PHEV,Ford,C-MAX Energi,20,92127,Electric
2015,Monterey,PHEV,Ford,Fusion Energi,16,92128,Electric
2015,Monterey,PHEV,Porsche,Cayenne,2,92129,Electric
2015,Monterey,PHEV,Porsche,Panamera,1,92130,Electric
2015,Monterey,PHEV,Toyota,Prius PHEV,16,92131,Electric
2015,Napa,Electric,BMW,i3,5,92154,Electric
2015,Napa,Electric,Chevrolet,Spark EV,7,92203,Electric
2015,Napa,Electric,FIAT,500e,24,92211,Electric
2015,Napa,Electric,Ford,Focus,6,92220,Electric
2015,Napa,Electric,Kia,Soul EV,1,92223,Electric
2015,Napa,Electric,Mercedes-Benz,B-Class,3,92227,Electric
2015,Napa,Electric,Nissan,Leaf,15,92234,Electric
2015,Napa,Electric,Tesla,Model S,73,92252,Electric
2015,Napa,Electric,Volkswagen,e-Golf,3,92253,Electric
2015,Napa,PHEV,BMW,i3 REx,10,92260,Electric
2015,Napa,PHEV,BMW,i8,1,92262,Electric
2015,Napa,PHEV,BMW,X5,2,92264,Electric
2015,Napa,PHEV,Cadillac,ELR,2,92270,Electric
2015,Napa,PHEV,Chevrolet,Volt,22,92277,Electric
2015,Napa,PHEV,Ford,C-MAX Energi,9,92307,Electric
2015,Napa,PHEV,Ford,Fusion Energi,16,92313,Electric
2015,Napa,PHEV,Mercedes-Benz,S-Class,1,92322,Electric
2015,Napa,PHEV,Porsche,Cayenne,2,92324,Electric
2015,Napa,PHEV,Toyota,Prius PHEV,18,92335,Electric
2015,Nevada,Electric,BMW,i3,1,92336,Electric
2015,Nevada,Electric,Chevrolet,Spark EV,2,92339,Electric
2015,Nevada,Electric,FIAT,500e,4,92345,Electric
2015,Nevada,Electric,Nissan,Leaf,8,92346,Electric
2015,Nevada,Electric,Tesla,Model S,32,92350,Electric
2015,Nevada,Electric,Volkswagen,e-Golf,4,92373,Electric
2015,Nevada,PHEV,Chevrolet,Volt,8,92374,Electric
2015,Nevada,PHEV,Ford,C-MAX Energi,7,92376,Electric
2015,Nevada,PHEV,Ford,Fusion Energi,5,92377,Electric
2015,Nevada,PHEV,Honda,Accord PHEV,2,92392,Electric
2015,Nevada,PHEV,Toyota,Prius PHEV,6,92394,Electric
2015,Orange,Electric,BMW,i3,124,92395,Electric
2015,Orange,Electric,Chevrolet,Spark EV,162,92404,Electric
2015,Orange,Electric,FIAT,500e,983,92405,Electric
2015,Orange,Electric,Ford,Focus,88,92501,Electric
2015,Orange,Electric,Kia,Soul EV,95,92503,Electric
2015,Orange,Electric,Mercedes-Benz,B-Class,260,92504,Electric
2015,Orange,Electric,Mitsubishi,i-MiEV,7,92505,Electric
2015,Orange,Electric,Nissan,Leaf,336,92506,Electric
2015,Orange,Electric,Smart,Fortwo Electric Drive,69,92507,Electric
2015,Orange,Electric,Tesla,Model S,1549,92508,Electric
2015,Orange,Electric,Toyota,RAV4 EV,6,92530,Electric
2015,Orange,Electric,Volkswagen,e-Golf,190,92544,Electric
2015,Orange,PHEV,BMW,i3 REx,396,92557,Electric
2015,Orange,PHEV,BMW,i8,80,92562,Electric
2015,Orange,PHEV,BMW,X5,7,92563,Electric
2015,Orange,PHEV,Cadillac,ELR,34,92571,Electric
2015,Orange,PHEV,Chevrolet,Volt,915,92583,Electric
2015,Orange,PHEV,Fisker,Karma,4,92584,Electric
2015,Orange,PHEV,Ford,C-MAX Energi,456,92587,Electric
2015,Orange,PHEV,Ford,Fusion Energi,750,92592,Electric
2015,Orange,PHEV,Honda,Accord PHEV,16,92596,Electric
2015,Orange,PHEV,Hyundai,Sonata PHEV,12,92602,Electric
2015,Orange,PHEV,McLaren,P1,3,92603,Electric
2015,Orange,PHEV,Mercedes-Benz,S-Class,18,92604,Electric
2015,Orange,PHEV,Porsche,918 Spyder,17,92606,Electric
2015,Orange,PHEV,Porsche,Cayenne,33,92607,Electric
