Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Mendocino,BEV,Chevrolet,Spark EV,3,92054,BEV
2015,Mendocino,BEV,FIAT,500e,3,92056,BEV
2015,Mendocino,BEV,Mercedes-Benz,B-Class,1,92057,BEV
2015,Mendocino,BEV,Nissan,Leaf,10,92058,BEV
2015,Mendocino,BEV,Smart,Fortwo BEV Drive,2,92064,BEV
2015,Mendocino,BEV,Tesla,Model S,15,92065,BEV
2015,Mendocino,BEV,Volkswagen,e-Golf,2,92067,BEV
2015,Mendocino,PHEV,BMW,i3 REx,3,92069,BEV
2015,Mendocino,PHEV,Chevrolet,Volt,16,92071,BEV
2015,Mendocino,PHEV,Ford,C-MAX Energi,14,92075,BEV
2015,Mendocino,PHEV,Ford,Fusion Energi,13,92078,BEV
2015,Mendocino,PHEV,Toyota,Prius PHEV,14,92081,BEV
2015,Merced,BEV,BMW,i3,1,92082,BEV
2015,Merced,BEV,Chevrolet,Spark EV,8,92083,BEV
2015,Merced,BEV,FIAT,500e,4,92084,BEV
2015,Merced,BEV,Kia,Soul EV,1,92088,BEV
2015,Merced,BEV,Nissan,Leaf,6,92091,BEV
2015,Merced,BEV,Tesla,Model S,5,92093,BEV
2015,Merced,BEV,Volkswagen,e-Golf,1,92101,BEV
2015,Merced,PHEV,BMW,i3 REx,1,92102,BEV
2015,Merced,PHEV,Chevrolet,Volt,10,92103,BEV
2015,Merced,PHEV,Ford,C-MAX Energi,5,92104,BEV
2015,Merced,PHEV,Ford,Fusion Energi,2,92105,BEV
2015,Merced,PHEV,Toyota,Prius PHEV,3,92106,BEV
2015,Mono,BEV,Tesla,Model S,2,92107,BEV
2015,Mono,PHEV,Toyota,Prius PHEV,1,92108,BEV
2015,Monterey,BEV,BMW,i3,2,92109,BEV
2015,Monterey,BEV,Chevrolet,Spark EV,7,92110,BEV
2015,Monterey,BEV,FIAT,500e,44,92111,BEV
2015,Monterey,BEV,Ford,Focus,9,92114,BEV
2015,Monterey,BEV,Kia,Soul EV,6,92115,BEV
2015,Monterey,BEV,Mercedes-Benz,B-Class,3,92116,BEV
2015,Monterey,BEV,Nissan,Leaf,25,92117,BEV
2015,Monterey,BEV,Smart,Fortwo BEV Drive,2,92118,BEV
